         11020588 function calls (11019761 primitive calls) in 3.638 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       60    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:416(__enter__)
        1    0.000    0.000    0.001    0.001 subprocess.py:1(<module>)
        8    0.000    0.000    0.001    0.000 _compiler.py:578(_code)
  253/219    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x18085a0}
       75    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:304(acquire)
       12    0.000    0.000    0.001    0.000 std.py:457(print_status)
       36    0.000    0.000    0.001    0.000 utils.py:378(disp_len)
        1    0.000    0.000    0.001    0.001 signal.py:1(<module>)
     84/8    0.000    0.000    0.001    0.000 _compiler.py:37(_compile)
        1    0.000    0.000    0.001    0.001 __init__.py:469(StrFormatStyle)
      6/3    0.000    0.000    0.001    0.000 _regex_core.py:417(_parse_pattern)
       36    0.000    0.000    0.001    0.000 utils.py:374(_text_width)
       41    0.000    0.000    0.001    0.000 {built-in method builtins.sum}
     14/8    0.000    0.000    0.001    0.000 _regex_core.py:427(parse_sequence)
       58    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
        1    0.000    0.000    0.001    0.001 string.py:1(<module>)
        8    0.000    0.000    0.001    0.000 enum.py:528(__new__)
        1    0.000    0.000    0.001    0.001 random.py:1(<module>)
      189    0.000    0.000    0.001    0.000 enum.py:1561(__and__)
       19    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:997(exec_module)
        1    0.001    0.001    0.001    0.001 subprocess.py:470(CompletedProcess)
        1    0.000    0.000    0.001    0.001 string.py:69(__init_subclass__)
       76    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:486(cache_from_source)
     2562    0.000    0.000    0.001    0.000 utils.py:375(<genexpr>)
      514    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
      192    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
       12    0.000    0.000    0.001    0.000 std.py:451(fp_write)
       19    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
       26    0.000    0.000    0.000    0.000 utils.py:194(inner)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1291(create_module)
        1    0.000    0.000    0.000    0.000 {built-in method _imp.create_dynamic}
       14    0.000    0.000    0.000    0.000 {method 'write' of '_io.TextIOWrapper' objects}
      192    0.000    0.000    0.000    0.000 {built-in method posix.stat}
      245    0.000    0.000    0.000    0.000 enum.py:720(__call__)
       77    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:632(cached)
